node1,node2,entanglement,error,bond
0,24,0.6852896772979726,0.0,2
1,24,0.660182781243623,0.0,2
2,25,0.68507187083708,0.0,2
3,26,0.5049674365271339,0.0,2
4,27,0.2273931760231091,0.0,2
5,28,0.08048655456155082,0.0,2
6,29,0.02576795881211114,0.0,2
7,30,0.007826643703092292,0.0,2
8,31,0.6892474427538243,0.0,2
9,32,0.664772555939452,0.0,2
10,33,0.6619680117425988,0.0,2
11,34,0.5575693143648959,0.0,2
12,35,0.3048420463416657,0.0,2
13,36,0.11721653016479308,0.0,2
14,37,0.03886492453125702,0.0,2
15,38,0.012014401696375614,0.0,2
16,39,0.6600623700640327,0.0,2
17,40,0.6411983444504618,0.0,2
18,41,0.689420975060023,0.0,2
19,42,0.5156110100005858,0.0,2
20,43,0.22934247771410232,0.0,2
21,44,0.08103564442629063,0.0,2
22,45,0.02593512373490496,0.0,2
23,45,0.007877642967088958,0.0,2
24,25,1.291739957296205,-2.220446049250313e-16,4
25,26,1.947413660146795,-4.440892098500626e-16,8
26,27,2.2227551717439176,-4.440892098500626e-16,16
27,28,2.227566883246391,-8.881784197001252e-16,25
28,29,2.22826055188097,-6.661338147750939e-16,26
29,30,2.228407770908671,-2.220446049250313e-16,26
30,31,2.2284429903453313,-4.440892098500626e-16,26
31,32,2.7510735669549153,8.881784197001252e-16,43
32,33,2.871607127545678,1.1102230246251565e-15,56
33,34,2.739748266915729,3.3306690738754696e-16,59
34,35,2.496656251695371,4.440892098500626e-16,59
44,45,0.0312915171023681,0.0,4
43,44,0.10050436681657687,6.661338147750939e-16,8
42,43,0.2809812193732714,-6.661338147750939e-16,9
41,42,0.6401682883993198,-4.440892098500626e-16,11
40,41,1.1205238385454284,-4.440892098500626e-16,14
39,40,1.6445836245690446,-6.661338147750939e-16,19
38,39,2.198211724610384,-1.1102230246251565e-15,26
37,38,2.207829593471519,1.2212453270876722e-15,44
36,37,2.2357654930068303,6.661338147750939e-16,57
35,36,2.314523396767795,7.771561172376096e-16,58
