node1,node2,entanglement,fidelity,error
0,24,0.9290630661180568,0.0,0.0
1,24,0.9441436140904014,0.0,0.0
2,25,0.8593346517955855,0.0,0.0
3,26,0.4374224800216472,0.0,0.0
4,27,0.1426482594844796,0.0,0.0
5,28,0.04599615572826206,0.0,0.0
6,29,0.014060725943345934,0.0,0.0
7,29,0.0041552781215999715,0.0,0.0
8,31,0.9295709927358395,0.0,0.0
9,32,0.8399197332207244,0.0,0.0
10,33,0.7715233939321511,0.0,0.0
11,33,0.5225632483677881,0.0,0.0
12,35,0.25801351546997225,0.0,0.0
13,35,0.0878520405770967,0.0,0.0
14,36,0.02785789178857498,0.0,0.0
15,37,0.00839738949889911,0.0,0.0
16,38,0.9198158644205505,0.0,0.0
17,40,0.9426488194978087,0.0,0.0
18,41,0.7837935690535351,0.0,0.0
19,42,0.4318831485455672,0.0,0.0
20,43,0.1589639114775277,0.0,0.0
21,44,0.05215773798999178,0.0,0.0
22,45,0.01605374435381323,0.0,0.0
23,45,0.0047587864942924794,0.0,0.0
24,30,1.7153481664818029,0.5571806322289206,0.442819367771079
25,30,1.242064903253684,0.5571806322289216,0.44281936777107855
25,26,0.5394772199003112,0.5043482651833432,0.49565173481665636
26,27,0.17792424819738645,0.4801867044466877,0.5198132955533121
27,28,0.05768881539344714,0.4781683030257181,0.5218316969742816
28,29,0.017059781551103537,0.4777256912498975,0.5222743087501031
30,34,2.60854480347257,0.5768240810153785,0.4231759189846218
31,34,2.6088164589760123,0.4775915740539514,0.5224084259460485
31,32,1.9134057509976232,0.4178691493058617,0.5821308506941384
32,33,1.0889557292218572,0.39221163838314266,0.6077883616168573
34,39,3.274458603227294,0.7780559625095115,0.22194403749048985
44,45,0.01946706814083596,0.6356590782853536,0.3643409217146458
43,44,0.06536241110989863,0.6356590782853534,0.3643409217146467
42,43,0.19815676036223207,0.6356590782853537,0.36434092171464616
41,42,0.5296472173958994,0.6356590782853548,0.36434092171464627
40,41,1.0235000436613062,0.6356590782853561,0.36434092171464383
39,40,1.667282877586444,0.6356590790032478,0.3643409209967523
38,39,1.2111224269258882,0.6300883419391684,0.3699116580608308
37,38,0.31800137374976184,0.612379452352931,0.38762054764706855
36,37,0.315056894251436,0.6118198418310303,0.3881801581689712
35,36,0.3031785928971888,0.6096325708953033,0.3903674291046966
