node1,node2,energy,entanglement,error
0,13,0.0,0.1664963251946295,0.0
1,14,0.0,0.17183512532502715,0.0
2,13,0.0,0.3309175312077687,0.0
3,15,0.0,0.24018329783599346,0.0
4,14,0.0,0.16166626990568067,0.0
5,12,0.0,0.44088090384182105,0.0
6,12,0.0,0.20359785424972635,0.0
7,17,0.0,0.24640493060668853,0.0
8,19,0.0,0.4597560987953748,0.0
9,19,0.0,0.2567883048334778,0.0
10,20,0.0,0.48710324032490465,0.0
11,17,0.0,0.3015653142459373,0.0
13,21,-12.801828825121593,0.379304670443492,-4.063416270128073e-14
15,16,-12.801830675910164,0.4756198074576006,-6.94999613415348e-14
14,15,-12.801830675910198,0.3074669847691098,4.374278717023117e-14
12,16,-12.801830675910198,0.5666482560101992,5.739853037312059e-14
16,18,-12.802688713534987,0.7097587073920162,8.366510483126532e-05
18,20,-12.801854591216546,0.6812957315368826,1.7166282809677469e-06
19,20,-12.80182904363025,0.536227656350064,5.651035195342047e-14
17,21,-12.801828825121618,0.38871679832508305,5.6621374255882984e-14
18,21,-12.801915991147068,0.6355073803503598,6.517949280970825e-06
