site,Sx,Sy,Sz
0,0.00444088957440459,-5.204170427930421e-18j,0.3166607266665332
1,-0.019779761128254122,0j,0.45162515575575124
2,0.2657923821094208,-2.7755575615628914e-17j,0.8496258974365841
3,0.051575196332657,-3.469446951953614e-18j,0.4585165752007746
4,-0.021912199127459335,0j,0.39693352736920834
5,0.11570613855409462,2.7755575615628914e-17j,-0.08914293488578363
6,0.20411648447653574,0j,-0.16890569438385133
7,-0.10353732368736826,0j,-0.22102257744603376
8,-0.17497092588431634,-1.3877787807814457e-17j,-0.13201040647216802
9,0.10954085895066809,0j,-0.4737209774261382
10,-0.05874910847566403,3.469446951953614e-18j,-1.1201006404227212
11,0.06225268904686142,-1.0408340855860843e-17j,-0.16646932804181636
