site1,site2,SzSz,SxSx,SySy,SxSy,SySx,SzSx,SxSz,SzSy,SySz
0,1,0.14383263142850494,0.0018001802570520586,0.0507318360556655,-3.469446951953614e-18j,1.3877787807814457e-17j,0.0008964735005840482,4.336808689942018e-18,-2.439454888092385e-18j,0.006146367676992841j
0,2,0.21558038240087468,-0.04908339478267337,-0.13105359605290368,0j,0j,0.010313124266994544,-6.938893903907228e-18,8.673617379884035e-19j,-0.07271405832477834j
0,3,0.14383263142850494,0.0018001802570520586,0.0507318360556655,-3.469446951953614e-18j,1.3877787807814457e-17j,0.0008964735005840482,4.336808689942018e-18,-2.439454888092385e-18j,0.006146367676992841j
0,4,0.14383263142850494,0.0018001802570520586,0.0507318360556655,-3.469446951953614e-18j,1.3877787807814457e-17j,0.0008964735005840482,4.336808689942018e-18,-2.439454888092385e-18j,0.006146367676992841j
0,5,0.14383263142850494,0.0018001802570520586,0.0507318360556655,-3.469446951953614e-18j,1.3877787807814457e-17j,0.0008964735005840482,4.336808689942018e-18,-2.439454888092385e-18j,0.006146367676992841j
0,6,0.14383263142850494,0.0018001802570520586,0.0507318360556655,-3.469446951953614e-18j,1.3877787807814457e-17j,0.0008964735005840482,4.336808689942018e-18,-2.439454888092385e-18j,0.006146367676992841j
0,7,-0.039114699968387824,0.004733480597498188,0.14252850465571817,-1.3183898417423734e-16j,2.7755575615628914e-17j,-0.00043686286102014027,5.204170427930421e-18,2.3852447794681098e-18j,-0.01953550849109302j
0,8,0.08951733858230604,-0.008507361500487212,0.061794843291277275,6.938893903907228e-17j,9.020562075079397e-17j,-0.015334845279335381,-2.2551405187698492e-17,-4.336808689942018e-18j,0.030475370622147648j
0,9,0.08951733858230604,-0.008507361500487212,0.061794843291277275,6.938893903907228e-17j,9.020562075079397e-17j,-0.015334845279335381,-2.2551405187698492e-17,-4.336808689942018e-18j,0.030475370622147648j
0,10,0.08951733858230604,-0.008507361500487212,0.061794843291277275,6.938893903907228e-17j,9.020562075079397e-17j,-0.015334845279335381,-2.2551405187698492e-17,-4.336808689942018e-18j,0.030475370622147648j
0,11,-0.039114699968387824,0.004733480597498188,0.14252850465571817,-1.3183898417423734e-16j,2.7755575615628914e-17j,-0.00043686286102014027,5.204170427930421e-18,2.3852447794681098e-18j,-0.01953550849109302j
1,2,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
1,3,0.19932684015642332,0.003728736586478665,0.0019335730335352285,-1.8431436932253575e-18j,-1.0842021724855044e-19j,-0.00919026456904396,-3.469446951953614e-18,1.734723475976807e-18j,-0.021907531987681913j
1,4,0.18146470058360642,0.0011490231831019857,-0.016100407766702025,8.673617379884035e-19j,0j,-0.0074827694647573405,0.0,0j,0.010060672714204393j
1,5,-0.08333484437754696,-0.0242256412937934,-0.05711066244271836,-2.0816681711721685e-17j,0j,0.002059950898018399,8.326672684688674e-17,4.119968255444917e-18j,-0.07991625684736044j
1,6,-0.08333484437754696,-0.0242256412937934,-0.05711066244271836,-2.0816681711721685e-17j,0j,0.002059950898018399,8.326672684688674e-17,4.119968255444917e-18j,-0.07991625684736044j
1,7,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
1,8,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
1,9,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
1,10,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
1,11,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
2,3,0.14383263142850494,0.0018001802570520586,0.0507318360556655,-3.469446951953614e-18j,1.3877787807814457e-17j,0.0008964735005840482,4.336808689942018e-18,-2.439454888092385e-18j,0.006146367676992841j
2,4,0.14383263142850494,0.0018001802570520586,0.0507318360556655,-3.469446951953614e-18j,1.3877787807814457e-17j,0.0008964735005840482,4.336808689942018e-18,-2.439454888092385e-18j,0.006146367676992841j
2,5,0.14383263142850494,0.0018001802570520586,0.0507318360556655,-3.469446951953614e-18j,1.3877787807814457e-17j,0.0008964735005840482,4.336808689942018e-18,-2.439454888092385e-18j,0.006146367676992841j
2,6,0.14383263142850494,0.0018001802570520586,0.0507318360556655,-3.469446951953614e-18j,1.3877787807814457e-17j,0.0008964735005840482,4.336808689942018e-18,-2.439454888092385e-18j,0.006146367676992841j
2,7,-0.039114699968387824,0.004733480597498188,0.14252850465571817,-1.3183898417423734e-16j,2.7755575615628914e-17j,-0.00043686286102014027,5.204170427930421e-18,2.3852447794681098e-18j,-0.01953550849109302j
2,8,0.08951733858230604,-0.008507361500487212,0.061794843291277275,6.938893903907228e-17j,9.020562075079397e-17j,-0.015334845279335381,-2.2551405187698492e-17,-4.336808689942018e-18j,0.030475370622147648j
2,9,0.08951733858230604,-0.008507361500487212,0.061794843291277275,6.938893903907228e-17j,9.020562075079397e-17j,-0.015334845279335381,-2.2551405187698492e-17,-4.336808689942018e-18j,0.030475370622147648j
2,10,0.08951733858230604,-0.008507361500487212,0.061794843291277275,6.938893903907228e-17j,9.020562075079397e-17j,-0.015334845279335381,-2.2551405187698492e-17,-4.336808689942018e-18j,0.030475370622147648j
2,11,-0.039114699968387824,0.004733480597498188,0.14252850465571817,-1.3183898417423734e-16j,2.7755575615628914e-17j,-0.00043686286102014027,5.204170427930421e-18,2.3852447794681098e-18j,-0.01953550849109302j
3,4,0.19932684015642332,0.003728736586478665,0.0019335730335352285,-1.8431436932253575e-18j,-1.0842021724855044e-19j,-0.00919026456904396,-3.469446951953614e-18,1.734723475976807e-18j,-0.021907531987681913j
3,5,-0.08333484437754696,-0.0242256412937934,-0.05711066244271836,-2.0816681711721685e-17j,0j,0.002059950898018399,8.326672684688674e-17,4.119968255444917e-18j,-0.07991625684736044j
3,6,-0.08333484437754696,-0.0242256412937934,-0.05711066244271836,-2.0816681711721685e-17j,0j,0.002059950898018399,8.326672684688674e-17,4.119968255444917e-18j,-0.07991625684736044j
3,7,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
3,8,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
3,9,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
3,10,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
3,11,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
4,5,-0.08333484437754696,-0.0242256412937934,-0.05711066244271836,-2.0816681711721685e-17j,0j,0.002059950898018399,8.326672684688674e-17,4.119968255444917e-18j,-0.07991625684736044j
4,6,-0.08333484437754696,-0.0242256412937934,-0.05711066244271836,-2.0816681711721685e-17j,0j,0.002059950898018399,8.326672684688674e-17,4.119968255444917e-18j,-0.07991625684736044j
4,7,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
4,8,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
4,9,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
4,10,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
4,11,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
5,6,0.02559853634614771,0.08458883764112635,0.5534174847415282,0j,0j,-0.02371035074184045,-1.734723475976807e-18,1.734723475976807e-18j,0.0178930394436033j
5,7,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
5,8,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
5,9,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
5,10,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
5,11,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
6,7,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
6,8,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
6,9,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
6,10,-0.20094055785329684,-0.011116387749110501,-0.016891220346527087,1.929879867024198e-17j,-3.5344990823027445e-17j,0.0065174762902476275,-4.128641872824801e-16,2.168404344971009e-18j,-0.042632681649731205j
6,11,-0.07715346658662572,0.003386217509143974,0.03881984631532473,-1.1275702593849246e-16j,3.122502256758253e-17j,0.003417062614923685,-3.642919299551295e-17,1.713039432527097e-17j,-0.0300651303994475j
7,8,0.08951733858230604,-0.008507361500487212,0.061794843291277275,6.938893903907228e-17j,9.020562075079397e-17j,-0.015334845279335381,-2.2551405187698492e-17,-4.336808689942018e-18j,0.030475370622147648j
