node1,node2,energy,entanglement,error
0,12,0.0,0.1808979553890108,0.0
1,12,0.0,0.2233375720458163,0.0
2,13,0.0,0.2466487048893638,0.0
3,14,0.0,0.19877691686066742,0.0
4,14,0.0,0.2309393839197098,0.0
5,15,0.0,0.5439742517509624,0.0
6,17,0.0,0.15533681459992565,0.0
7,17,0.0,0.3031870567145723,0.0
8,18,0.0,0.2611183523586355,0.0
9,18,0.0,0.257584684829957,0.0
10,21,0.0,0.45414576947621943,0.0
11,15,0.0,0.4020214749065892,0.0
12,16,-7.609081835754661,0.398202542295198,1.1102230246251565e-15
13,20,-7.6090824569703654,0.4794692673715629,2.220446049250313e-15
13,14,-7.609082456970367,0.27727658878833183,8.881784197001252e-16
15,16,-7.609081835754625,0.6034920721016894,-4.440892098500626e-16
16,19,-7.609086514804172,0.668047422186089,4.5406394588720644e-07
20,21,-7.609082456970363,0.6221134896560536,-1.9984014443252818e-15
18,19,-7.609081873497893,0.39814088360891575,4.773959005888173e-15
19,20,-7.60950321746743,0.6297304604461458,5.606355243614747e-05
17,21,-7.609082456970313,0.4411827443684705,1.1102230246251565e-16
