site,Sx,Sy,Sz
0,-0.21700164041034095,0j,-0.423558956472142
1,-0.0577431754337418,0j,0.37715123744195667
2,1.0751612525188015,-1.1102230246251565e-16j,0.02896228629538675
3,0.166766055755919,0j,-0.21500638278570572
4,-0.2729959556767548,0j,0.16457060227720277
5,0.31125241940379217,5.551115123125783e-17j,-0.13214897305442794
6,0.3766348863068548,-2.7755575615628914e-17j,-0.05882562679183731
7,-0.22325626805444387,0j,-0.11921448250975462
8,-1.3107231431154691,1.1102230246251565e-16j,0.3890098818366896
9,0.3886789084649839,8.326672684688674e-17j,0.17523106647725423
10,0.41765816881404655,0j,0.8986113525720263
11,0.08233900357170458,0j,0.28037794149387263
