node1,node2,energy,entanglement,error
0,16,0.0,0.2707838564570295,0.0
1,12,0.0,0.23745851023808928,0.0
2,15,0.0,0.390119985661471,0.0
3,14,0.0,0.27205453541792757,0.0
4,17,0.0,0.13795233259959774,0.0
5,14,0.0,0.38669935118550147,0.0
6,17,0.0,0.11087975348149681,0.0
7,13,0.0,0.2019122112806515,0.0
8,19,0.0,0.2653778083508665,0.0
9,19,0.0,0.19403502519142263,0.0
10,21,0.0,0.2831509677796682,0.0
11,21,0.0,0.2441573520789486,0.0
12,20,-10.058144458033455,0.4363780162145864,-1.9984014443252818e-15
18,20,-10.060752435181215,0.7579905082022487,0.00036678107014065375
14,18,-10.058152249930288,0.5900214435336129,-1.1102230246251565e-15
13,15,-10.058152360632144,0.4081515303721856,3.3306690738754696e-16
13,17,-10.058152360632167,0.24067548559168028,1.1102230246251565e-16
16,21,-10.058144458033427,0.45958370741729676,-4.440892098500626e-16
12,19,-10.058144458033423,0.3209511269928834,6.661338147750939e-16
16,20,-10.058144458033423,0.6136310940801459,-6.661338147750939e-16
15,18,-10.058176728892672,0.6478965914502345,2.8270567271615477e-06
