site,Sx,Sy,Sz
0,0.10893787470642557,-0.31159393887636044,0.29212930097603207
1,-0.08478639194022813,0.43940275235462356,0.05509767313470911
2,0.29280510790461867,0.8478511246260789,-0.07655591900411017
3,0.017200149601969243,0.4790988415959104,-0.011717837053195361
4,-0.3405513829074254,-0.07690778967849528,-0.30089667255629216
5,-0.06466235019860606,-0.6365908522512445,-1.2914543019173492
6,-0.06824727932144177,0.4341458034135527,0.08824120889282427
7,-0.36401769488124375,0.2139560595744633,0.18364473495097505
8,-0.48235537270447804,1.2509834052727933,-0.22174549243104955
9,0.4170899566352198,-0.12209039986883417,-0.035625964282376264
10,-0.09218155609334719,-0.12263943428077867,-0.9393288734483538
11,-0.14898226326959255,0.3971378547541502,0.009394427622623951
