node1,node2,energy,entanglement,error
0,15,0.0,0.32318495517351326,0.0
1,12,0.0,0.2905115373307844,0.0
2,13,0.0,0.4266038764370648,0.0
3,14,0.0,0.17525696279514388,0.0
4,12,0.0,0.24198839182956586,0.0
5,14,0.0,0.2913327718810969,0.0
6,16,0.0,0.11909126669091435,0.0
7,16,0.0,0.34800418539008476,0.0
8,19,0.0,0.4088955955308737,0.0
9,21,0.0,0.27987120733252085,0.0
10,18,0.0,0.46348526552314573,0.0
11,21,0.0,0.19179139827299863,0.0
12,15,-10.830697861875661,0.4784910981483903,-2.220446049250313e-16
13,17,-10.83069775330546,0.6378259509677096,-3.3306690738754696e-15
14,17,-10.830697753305442,0.4195945191272424,-2.6645352591003757e-15
15,20,-10.830697861875757,0.7585118436553524,5.995204332975845e-15
13,16,-10.830697753305438,0.46197037603945834,-2.220446049250313e-16
19,21,-10.830697832076572,0.466608110226307,1.3322676295501878e-15
18,19,-10.830697832076618,0.6390508418489691,-4.6629367034256575e-15
18,20,-10.830701002727691,0.859200875427117,3.315888443822246e-07
17,20,-10.83077540545174,0.779961885493724,8.9736778805527e-06
