site,Sx,Sy,Sz
0,1.0020234642027503e-10,-5.838925176693266e-11,8.355793834624592e-11
1,3.760993773360699e-11,1.2379565081377386e-10,6.660762913446305e-11
2,-4.055137042130452e-11,-2.501591989112484e-10,-8.148617891556853e-11
3,4.9057841122746026e-11,-1.222077994356141e-10,4.152587995687185e-11
4,-1.324396980972864e-10,6.240330474582834e-11,2.829342315990857e-11
5,1.4460216765803305e-10,-1.1840435019914185e-11,3.9616643299211773e-10
6,1.2235161668538996e-10,-6.830187283812794e-11,-1.596019150174044e-11
7,-1.040228979343194e-10,7.132099424933536e-11,-1.2945561289612328e-11
8,9.883308060842921e-11,3.9322078926318227e-10,-2.179392222245724e-10
9,-1.1427111340500673e-10,-5.151513850915057e-11,-7.550526870403473e-11
10,6.739995627585982e-11,9.359334843055643e-11,-2.688428570474938e-10
11,5.5203112914181673e-11,1.2571908791780828e-10,6.632583371413148e-11
