node1,node2,energy,entanglement,error
0,16,0.0,1.0,0.0
1,16,0.0,1.0,0.0
2,17,0.0,1.0,0.0
3,17,0.0,1.0,0.0
4,18,0.0,0.9999999999999999,0.0
5,18,0.0,0.9999999999999999,0.0
6,19,0.0,1.0,0.0
7,19,0.0,1.0,0.0
8,20,0.0,1.0,0.0
9,20,0.0,1.0,0.0
10,21,0.0,1.0,0.0
11,21,0.0,1.0,0.0
12,22,0.0,1.0,0.0
13,22,0.0,0.9999999999999999,0.0
14,23,0.0,0.9999999999999999,0.0
15,23,0.0,1.0,0.0
16,24,-6.911737145574956,0.6066203674356119,-1.3322676295501878e-15
17,24,-6.911737145574957,0.9701260441655073,4.440892098500626e-16
18,28,-6.911737145574962,1.0588382315059475,-7.105427357601002e-15
19,25,-6.911737145574941,1.0890501620550932,-3.3306690738754696e-14
20,29,-6.911737145574959,1.0890501620550959,-3.019806626980426e-14
21,26,-6.911737145574949,1.0588382315058404,-8.43769498715119e-15
22,27,-6.91173714557496,0.9701260441654957,2.220446049250313e-16
23,27,-6.911737145574957,0.6066203674355777,-8.881784197001252e-16
24,28,-6.911737145574944,0.7656290684759277,-7.771561172376096e-15
25,28,-6.9117371455749215,0.834341862980901,-3.4638958368304884e-14
26,29,-6.911737145574919,0.8343418629809276,-2.8199664825478976e-14
26,27,-6.91173714557494,0.7656290684758503,-5.773159728050814e-15
25,29,-6.911737145575122,0.8545184207406918,-5.617728504603292e-14
