site,Sx,Sy,Sz
0,-4.603305583938955e-15,0j,-5.2495212495527743e-14
1,1.4076196805379304e-15,7.589415207398531e-19j,9.339222646100043e-15
2,-3.193625919273302e-15,-1.734723475976807e-18j,-5.291123442163759e-14
3,4.496403249731884e-15,0j,2.5166934508602523e-14
4,-3.895972086609412e-15,-2.3852447794681098e-18j,-5.41071094178891e-15
5,3.5451242635931024e-15,-1.5178830414797062e-18j,4.007102809289176e-15
6,-3.4259053927065963e-14,5.204170427930421e-18j,-2.6117996654306808e-14
7,3.309331975120955e-14,1.734723475976807e-18j,2.853273173286652e-14
8,7.494005416219807e-15,-6.938893903907228e-18j,8.840931459141999e-14
9,-6.186023915333294e-15,-3.469446951953614e-18j,-1.0028870095490916e-13
10,1.2427558981897846e-14,0j,6.411537967210279e-14
11,-4.496403249731884e-15,0j,-7.492617637439025e-14
12,-3.938255971336346e-15,-6.505213034913027e-19j,-2.5565527884789663e-14
13,2.4529532051398295e-15,9.215718466126788e-19j,4.571263343983861e-14
14,-4.614364446098307e-16,0j,7.225123277443402e-16
15,3.434752482434078e-16,0j,-2.1896547075517248e-15
