node1,node2,energy,entanglement,error
0,26,0.0,0.6931471805599453,0.0
1,26,0.0,0.6931471805599453,0.0
2,28,0.0,0.6931471805599454,0.0
3,28,0.0,0.6931471805599453,0.0
4,23,0.0,0.6931471805599453,0.0
5,23,0.0,0.6931471805599453,0.0
6,16,0.0,0.6931471805599453,0.0
7,16,0.0,0.6931471805599452,0.0
8,29,0.0,0.6931471805599454,0.0
9,29,0.0,0.6931471805599453,0.0
10,22,0.0,0.6931471805599453,0.0
11,22,0.0,0.6931471805599454,0.0
12,17,0.0,0.6931471805599453,0.0
13,17,0.0,0.6931471805599453,0.0
14,20,0.0,0.6931471805599453,0.0
15,20,0.0,0.6931471805599453,0.0
21,27,-6.910254981422543,0.5739018053250922,-8.215650382226158e-15
27,29,-6.910254981422557,0.7460289506868014,-8.215650382226158e-15
17,19,-6.91025498142255,0.6691435717604804,4.440892098500626e-16
18,23,-6.911735984531434,0.733907768774597,-4.440892098500626e-16
24,27,-6.910254981422549,0.567938585451738,-1.1102230246251565e-15
19,24,-6.910254981422518,0.5256558013353505,-1.3322676295501878e-14
25,28,-6.911735984531439,0.6724198805718152,0.0
19,20,-6.910254981422552,0.418751901320385,1.1102230246251565e-16
18,25,-6.911735984531431,0.5306582021564954,-1.2878587085651816e-14
16,21,-6.910254981422553,0.7442650496548122,-2.220446049250313e-16
25,26,-6.9117359845314335,0.42046379458368216,-1.1102230246251565e-15
22,24,-6.91025498142254,0.7282646246295695,-8.659739592076221e-15
18,21,-6.911735984531442,0.578254045332512,-1.9984014443252818e-15
