site,Sx,Sy,Sz
0,7.822875968512113e-15,0.0,3.469446951953614e-15
1,-5.139013112287635e-15,0.0,-2.220446049250313e-15
2,2.4057362005280858e-15,0.0,2.3884973859855663e-15
3,-2.7326231555324654e-15,0.0,-9.71445146547012e-17
4,-1.1550385214248449e-14,0.0,-1.103154026460551e-14
5,-1.9373391779708982e-14,0.0,-6.151329445813758e-15
6,1.3692633181808245e-14,0.0,1.571225788365993e-15
7,-1.2351231148954867e-14,0.0,-5.783568068906675e-14
8,2.042810365310288e-14,0.0,6.164860288926377e-14
9,-3.133805064406414e-14,0.0,-9.488286892289644e-14
10,8.452960553739786e-14,0.0,1.233978197401342e-13
11,-1.545421776660838e-15,0.0,2.1480213441282814e-15
12,2.3455629799551403e-15,0.0,2.7755575615628914e-17
13,-6.6020864990246064e-15,0.0,4.9751327189928585e-15
14,7.830039289744717e-15,0.0,-4.08006961549745e-15
15,-1.2084181523310867e-14,0.0,5.828670879282072e-15
