site,Sx,Sy,Sz
0,-0.01780741781750245,0j,-0.12633389328316402
1,0.01127376049000832,0j,0.0799811667947048
2,-0.02120638322551973,0j,-0.15044769448278048
3,0.01484816458447458,0j,0.10533960955420293
4,-0.023149578937522848,0j,-0.164233605625201
5,0.016622609607786595,0j,0.11792832682419803
6,-0.024063304730026575,0j,-0.17071599054711115
7,0.017176579654525202,0j,0.12185844142492851
8,-0.024063304730022352,0j,-0.17071599054711747
9,0.01662260960777744,0j,0.11792832682421583
10,-0.023149578937547335,0j,-0.1642336056251963
11,0.014848164584480588,0j,0.1053396095542013
12,-0.0212063832255402,0j,-0.1504476944827695
13,0.011273760490015527,0j,0.07998116679470607
14,-0.01780741781751415,0j,-0.1263338932831659
