site1,site2,SzSz,SxSx,SySy,SxSy,SySx,SzSx,SxSz,SzSy,SySz
0,1,-0.21332746565642657,-0.21332746565642663,-0.21332746565642663,-2.995108501491206e-18j,-2.995108501491206e-18j,9.584347204771859e-17,0.0,0j,7.41594285980085e-17j
0,2,0.06764495959709893,0.06764495959709912,0.06764495959709912,4.058981883242607e-18j,-9.81880592457185e-18j,-1.5802246663976227e-16,2.710505431213761e-19,4.87890977618477e-19j,-1.9895109865109006e-17j
0,3,-0.06824149852101376,-0.06824149852101408,-0.06824149852101406,2.1833121248426846e-17j,-1.9800242175016525e-17j,-2.4938818371511573e-15,2.3852447794681098e-18,-1.951563910473908e-18j,-1.8299164267210344e-15j
0,4,0.038341389085201516,0.038341389085202,0.03834138908520188,-2.1480755542369057e-17j,2.0152607881074314e-17j,-1.46150452851046e-16,-2.168404344971009e-19,1.1926223897340549e-18j,-1.4690939437178585e-16j
0,5,-0.03733381555055042,-0.037333815550549376,-0.03733381555054949,5.353248226647178e-17j,-5.0550926292136644e-17j,-3.2981430087009045e-16,-1.951563910473908e-18,-1.951563910473908e-18j,1.4029576111962427e-16j
0,6,0.02639409686521746,0.02639409686521679,0.02639409686521687,1.7211709488207383e-18j,-1.748276003132876e-18j,2.850909612550634e-16,-2.168404344971009e-18,-2.3310346708438345e-18j,-1.4452414959231774e-16j
0,7,-0.023868200338612457,-0.02386820033861207,-0.02386820033861206,-2.15485181781494e-18j,1.3145951341386741e-18j,-1.6479873021779667e-16,7.806255641895632e-18,-1.0408340855860843e-17j,3.126839065448195e-16j
0,8,0.019928075989080814,0.01992807598908555,0.01992807598908573,3.2780175058741423e-17j,-3.3139317028377246e-17j,-7.376911581591372e-16,1.0299920638612292e-18,1.0842021724855044e-19j,5.32397476799007e-16j
0,9,-0.01629584800553751,-0.016295848005583966,-0.016295848005584854,-8.348356728138384e-18j,8.998878031629687e-18j,6.842833591425013e-15,2.6020852139652106e-18,-3.2526065174565133e-18j,-6.458375501061653e-15j
0,10,0.015842470881808374,0.01584247088185981,0.015842470881861467,-1.2874900798265365e-18j,2.1819568721270777e-18j,-8.925857015312788e-15,1.5178830414797062e-18,1.5178830414797062e-18j,1.2400616557911581e-14j
0,11,-0.011272593749249698,-0.011272593748475453,-0.011272593748459814,2.425902360936316e-18j,-2.778268066994105e-18j,-1.1123263768397784e-13,8.673617379884035e-19,2.168404344971009e-18j,1.1082020717756436e-13j
0,12,0.01289364130284058,0.012893641300918862,0.012893641300879886,5.353248226647178e-19j,-1.1993986533120893e-18j,2.759826601191756e-13,-5.963111948670274e-19,-7.318364664277155e-19j,-2.7607750070421377e-13j
0,13,-0.007178959744632777,-0.007178959742541754,-0.007178959742499348,-5.929230630780102e-19j,2.744386749103933e-19j,-3.005068253698201e-13,6.505213034913027e-19,1.0028870095490916e-18j,3.005731514377219e-13j
