site,Sx,Sy,Sz
0,-2.101882261340297e-15,0.0,2.7755575615628914e-17
1,1.349345480439233e-15,0.0,-2.220446049250313e-16
2,1.150075572859065e-14,0.0,1.8179902028236938e-14
3,-8.05789782128097e-15,0.0,-1.479372180313021e-14
4,-7.235293314480628e-15,0.0,-7.827072323607354e-15
5,6.48941432149448e-15,0.0,7.355227538141662e-15
6,-5.278914081481139e-15,0.0,-3.802513859341161e-15
7,4.731289507997628e-15,0.0,4.551914400963142e-15
8,1.968931635317686e-16,0.0,1.8596235662471372e-15
9,-8.54176623180585e-17,0.0,-9.992007221626409e-16
10,-2.101624881899138e-15,0.0,-8.881784197001252e-16
11,2.2962105739818987e-15,0.0,1.887379141862766e-15
12,9.856392230960555e-16,0.0,5.551115123125783e-17
13,-1.2623440863512718e-15,0.0,4.440892098500626e-16
14,-5.333828986965151e-16,0.0,-5.828670879282072e-16
15,3.9534114889028823e-16,0.0,5.273559366969494e-16
