node1,node2,energy,entanglement,error
0,16,0.0,1.0,0.0
1,16,0.0,1.0,0.0
2,17,0.0,0.9999999999999999,0.0
3,17,0.0,1.0,0.0
4,18,0.0,1.0,0.0
5,18,0.0,0.9999999999999999,0.0
6,19,0.0,0.9999999999999999,0.0
7,19,0.0,1.0,0.0
8,20,0.0,1.0,0.0
9,20,0.0,1.0,0.0
10,21,0.0,1.0,0.0
11,21,0.0,1.0,0.0
12,22,0.0,1.0,0.0
13,22,0.0,1.0,0.0
14,23,0.0,0.9999999999999998,0.0
15,23,0.0,0.9999999999999999,0.0
16,24,-6.911737145575101,0.606620367438119,-2.220446049250313e-16
17,24,-6.911737145575099,0.9701260441665642,1.4432899320127035e-15
18,28,-6.911737145575101,1.0588382315061886,-9.769962616701378e-15
19,25,-6.911737145575068,1.0890501620550008,-2.708944180085382e-14
20,29,-6.9117371455750805,1.0890501620549786,-3.930189507173054e-14
21,26,-6.911737145575075,1.0588382315061846,-5.773159728050814e-15
22,27,-6.9117371455751,0.9701260441665509,-8.881784197001252e-16
23,27,-6.911737145575094,0.6066203674380946,4.440892098500626e-16
24,28,-6.911737145575077,0.7656290684832852,-1.1102230246251565e-14
25,28,-6.911737145575114,0.8343418629923125,-4.796163466380676e-14
26,29,-6.911737145575093,0.834341862992382,-3.419486915845482e-14
26,27,-6.911737145575082,0.7656290684832499,-3.9968028886505635e-15
25,29,-6.91173714557515,0.8545184207464258,-9.525713551283843e-14
