node1,node2,energy,entanglement,error
0,16,0.0,0.6426497150529137,0.0
1,16,0.0,0.5558361964865767,0.0
2,17,0.0,0.673629823925795,0.0
3,18,0.0,0.6491415576880699,0.0
4,19,0.0,0.6225098662829107,0.0
5,20,0.0,0.5233363025123376,0.0
6,21,0.0,0.6610631304889707,0.0
7,22,0.0,0.6491415644971901,0.0
8,23,0.0,0.6124078417396739,0.0
9,24,0.0,0.5558353477049323,0.0
10,25,0.0,0.6568349573659304,0.0
11,26,0.0,0.6426494206274316,0.0
12,27,0.0,0.6124076537010918,0.0
13,28,0.0,0.6736298307388042,0.0
14,29,0.0,0.6610626568083138,0.0
15,29,0.0,0.6225095770577629,0.0
16,17,-6.559979190208209,1.1984859051710097,0.0
17,18,-6.5599791902082085,0.959286511293606,-2.220446049250313e-16
18,19,-6.559979190208214,0.8099185376591185,-1.7763568394002505e-15
19,20,-6.5599791902083755,1.0223913398783662,-1.3322676295501878e-15
20,21,-6.559979190278139,1.022391311982934,1.64959157444855e-11
21,22,-6.559979542636267,0.9196214009057826,6.959608567225217e-08
22,23,-6.5599791893082235,1.0689803519504582,1.3744561044859438e-13
28,29,-6.559979189307298,0.7042092289944032,7.771561172376096e-16
27,28,-6.559979189307295,1.05070231933145,0.0
26,27,-6.559979189307289,1.1496088352619318,-6.661338147750939e-16
25,26,-6.559979189307304,0.5747995209188398,-4.440892098500626e-16
24,25,-6.559979189307299,0.5747980907228285,-8.881784197001252e-16
23,24,-6.559979189589121,1.1306333935553043,7.18018977607926e-11
