site,Sx,Sy,Sz
0,1.0540444806378041e-12,0.0,-0.1575462029664395
1,2.48825736528305e-14,0.0,0.2558328189126249
2,-6.587171076021338e-13,0.0,0.09846283957167459
3,-1.4929815718609722e-14,0.0,-0.14723454883684262
4,1.2387027963332044e-12,0.0,-0.18568451158199828
5,3.023520104235867e-14,0.0,0.2828034084677373
6,-8.418537992177356e-13,0.0,0.12597508552439066
7,-1.3500291796296065e-14,0.0,-0.14723454884171877
8,1.3355639155360217e-12,0.0,-0.19816817005737464
9,2.390129940920806e-14,0.0,0.25583281892015314
10,-9.02802711869784e-13,0.0,0.13392197039180356
11,1.0618647366961133e-12,0.0,-0.15754620296978297
12,1.3348999100145283e-12,0.0,-0.19816817005360754
13,-6.638757792127517e-13,0.0,0.09846283957378879
14,-8.484069859775374e-13,0.0,0.12597508552639933
15,1.250308681874512e-12,0.0,-0.18568451158585808
