node1,node2,energy,entanglement,error
0,16,0.0,1.0,0.0
1,16,0.0,1.0,0.0
2,17,0.0,1.0,0.0
3,17,0.0,1.0,0.0
4,19,0.0,1.0,0.0
5,19,0.0,1.0,0.0
6,21,0.0,1.0,0.0
7,21,0.0,1.0,0.0
8,23,0.0,1.0,0.0
9,23,0.0,1.0,0.0
10,25,0.0,1.0,0.0
11,25,0.0,1.0,0.0
12,27,0.0,1.0,0.0
13,27,0.0,1.0,0.0
14,29,0.0,1.0,0.0
15,29,0.0,0.9999999999999999,0.0
16,18,-6.911737111694604,0.6066200428094082,-487322.29310065304
17,18,-6.9117371116946025,0.9701258884351006,-487322.29310189956
18,20,-6.911737111694606,0.7656282919287655,-487322.29310188437
19,20,-6.911737111694604,1.058838217273548,-487322.2931018935
20,22,-6.911737120143152,0.834340945214833,-487322.2931189367
21,22,-6.911737111656727,1.0890501992282133,-487322.2930965498
22,24,-6.911737128191462,0.8545176438132371,-487322.29306056915
28,29,-6.9117371116946025,0.6066200428093974,-487322.29310315533
27,28,-6.9117371116946025,0.9701258884351005,-487322.2931019018
26,28,-6.9117371116946025,0.7656282919287667,-487322.2931018978
25,26,-6.911737111694601,1.0588382172735478,-487322.2931019015
24,26,-6.91173712014314,0.8343409452148342,-487322.2931189834
23,24,-6.91173711165672,1.0890501992282156,-487322.29309657717
