site,Sx,Sy,Sz
0,0.0,0.0,-1.7499401938340154e-15
1,0.0,0.0,1.363599713188458e-15
2,0.0,0.0,3.9079365548597976e-18
3,0.0,0.0,5.4098450327939735e-17
4,0.0,0.0,-2.4435799626710527e-16
5,0.0,0.0,3.6626466727673083e-16
6,0.0,0.0,-1.1102230246251565e-16
7,0.0,0.0,-1.3877787807814457e-16
8,0.0,0.0,6.661338147750939e-16
9,0.0,0.0,-3.3306690738754696e-16
10,0.0,0.0,8.03727194290829e-16
11,0.0,0.0,-7.505850401843902e-16
12,0.0,0.0,-1.9884366578886966e-16
13,0.0,0.0,5.344082456332669e-16
14,0.0,0.0,-5.09189363077432e-16
15,0.0,0.0,7.614842275401301e-16
