site,Sx,Sy,Sz
0,2.7607256758432897e-14,-2.6020852139652106e-18j,-2.7701799187873632e-14
1,-2.1632001745430784e-15,-3.469446951953614e-18j,4.81385764583564e-15
2,7.049916206369744e-15,0j,-1.5126788710517758e-15
3,7.230327447871332e-15,-1.3877787807814457e-17j,1.1955714196432154e-14
4,-1.3100631690576847e-14,0j,3.7192471324942744e-15
5,-5.347556165241629e-16,-4.851804721872632e-18j,2.474149357611921e-16
6,-1.8756697583999227e-16,2.168404344971009e-19j,7.771561172376096e-16
7,-1.3972384447363817e-15,-2.710505431213761e-20j,-1.9672523159097732e-14
8,1.4568695642230844e-15,-1.3552527156068805e-19j,1.9634603188115052e-14
9,-8.17141493358875e-15,8.673617379884035e-19j,-1.829647544582258e-13
10,-4.2425915211530274e-15,7.589415207398531e-19j,8.496531928546547e-14
11,-3.1787072973799013e-14,0j,-7.093214904330125e-13
12,-5.312915905830717e-15,2.0599841277224584e-18j,2.1950083623541866e-13
13,-3.8077180297690916e-14,0j,-7.709388682997087e-13
14,6.9879540522121975e-15,5.421010862427522e-20j,2.4033342861402157e-13
15,-6.288014813699006e-14,2.168404344971009e-19j,-1.3530861137480213e-12
