site1,site2,SzSz,SxSx,SySy,SxSy,SySx,SzSx,SxSz,SzSy,SySz
0,1,-0.21867250991200143,-0.21867250991200135,-0.21867250991200135,6.071532165918825e-18j,6.071532165918825e-18j,2.6194324487249787e-16,0.0,0j,1.8995222061946038e-16j
0,2,-0.09703115869706688,-0.0970311586970668,-0.0970311586970668,-1.5499644143569628e-18j,-1.5499644143569628e-18j,8.987019570368127e-19,3.957337929572091e-18,-5.336307567702092e-20j,-7.798293532191442e-17j
0,3,0.055496854304782565,0.05549685430478249,0.055496854304782545,3.7947076036992655e-18j,-3.144186300207963e-18j,-5.483677747997184e-15,6.5052130349130266e-18,2.168404344971009e-19j,-5.3485861573054905e-15j
0,4,-0.02980070463969793,-0.029800704639697986,-0.02980070463969796,-5.261662789225307e-19j,-5.261662789225307e-19j,5.026778435369321e-16,-3.1420157782806237e-18,5.393482291641757e-19j,6.124763422093429e-16j
0,5,0.02977081352760644,0.029770813527606493,0.02977081352760641,-1.3010426069826053e-18j,2.168404344971009e-18j,-4.3151246464923076e-17,1.0408340855860843e-17,3.2526065174565133e-18j,-1.470178145890344e-16j
0,6,-0.017396461878616536,-0.01739646187861659,-0.017396461878616508,4.687692088342112e-18j,-5.720648767518731e-18j,-5.015546778488729e-17,-3.2960169560032962e-18,3.617148322131083e-18j,1.1359347097390608e-17j
0,7,0.019714320076444365,0.01971432007644438,0.01971432007644435,3.0357660829594124e-18j,-3.903127820947816e-18j,-4.3151246464923076e-17,5.421010862427522e-18,-8.673617379884035e-19j,-1.1037178115902435e-16j
0,8,-0.012302675174804545,-0.012302675174804595,-0.012302675174804547,3.022187086023742e-19j,3.022187086023742e-19j,9.722490536058502e-16,-2.0838697950905397e-18,-1.1733722425187208e-18j,9.905788498931557e-16j
0,9,0.014378289966702058,0.014378289966692475,0.01437828996670128,3.2526065174565133e-18j,-3.686287386450715e-18j,-5.2710223338858775e-14,5.095750210681871e-18,-1.0842021724855044e-18j,-4.46191477862512e-14j
0,10,-0.00882137094946048,-0.00882137094948493,-0.008821370949466098,-9.9709012781632e-19j,-9.9709012781632e-19j,-4.571454508732145e-14,-4.597694837696342e-18,1.688877817706668e-18j,9.013351495357658e-15j
0,11,0.011176398488430706,0.011176398488440795,0.011176398488432479,8.673617379884035e-19j,-8.673617379884035e-19j,3.4941667614862837e-15,3.2526065174565133e-18,-1.0842021724855044e-18j,-1.6447780637474096e-14j
0,12,-0.006388392017579676,-0.006388392017590251,-0.006388392017582577,9.286525126561327e-19j,-8.060709633206744e-19j,-1.1242973300324344e-14,-2.5055366928680213e-18,-1.6474724649647137e-18j,8.472984537020841e-15j
0,13,0.008667760801543155,0.008667760801553097,0.00866776080154579,-1.0299920638612292e-18j,7.047314121155779e-19j,4.265793447644217e-15,3.7947076036992655e-18,1.0842021724855044e-19j,-1.2720944089772424e-14j
0,14,0.007214936415490176,0.0072149364154903625,0.007214936415490279,-1.6263032587282567e-19j,-1.6263032587282567e-19j,-3.003240017784847e-17,2.5478751053409354e-18,1.951563910473908e-18j,-3.601177515910603e-16j
0,15,0.007214936415490176,0.0072149364154903625,0.007214936415490279,-1.6263032587282567e-19j,-1.6263032587282567e-19j,-3.003240017784847e-17,2.5478751053409354e-18,1.951563910473908e-18j,-3.601177515910603e-16j
1,2,-0.09703115869706688,-0.0970311586970668,-0.0970311586970668,-1.5499644143569628e-18j,-1.5499644143569628e-18j,8.987019570368127e-19,3.957337929572091e-18,-5.336307567702092e-20j,-7.798293532191442e-17j
1,3,0.055496854304782565,0.05549685430478249,0.055496854304782545,3.7947076036992655e-18j,-3.144186300207963e-18j,-5.483677747997184e-15,6.5052130349130266e-18,2.168404344971009e-19j,-5.3485861573054905e-15j
1,4,-0.02980070463969793,-0.029800704639697986,-0.02980070463969796,-5.261662789225307e-19j,-5.261662789225307e-19j,5.026778435369321e-16,-3.1420157782806237e-18,5.393482291641757e-19j,6.124763422093429e-16j
1,5,0.02977081352760644,0.029770813527606493,0.02977081352760641,-1.3010426069826053e-18j,2.168404344971009e-18j,-4.3151246464923076e-17,1.0408340855860843e-17,3.2526065174565133e-18j,-1.470178145890344e-16j
1,6,-0.017396461878616536,-0.01739646187861659,-0.017396461878616508,4.687692088342112e-18j,-5.720648767518731e-18j,-5.015546778488729e-17,-3.2960169560032962e-18,3.617148322131083e-18j,1.1359347097390608e-17j
