node1,node2,energy,entanglement,error
0,16,0.0,0.9999999999999999,0.0
1,16,0.0,1.0,0.0
2,17,0.0,1.0,0.0
3,18,0.0,0.9999999999999999,0.0
4,19,0.0,0.9999999999999998,0.0
5,20,0.0,0.9999999999999999,0.0
6,21,0.0,1.0,0.0
7,22,0.0,1.0,0.0
8,23,0.0,1.0,0.0
9,24,0.0,0.9999999999999999,0.0
10,25,0.0,1.0,0.0
11,26,0.0,1.0,0.0
12,27,0.0,1.0,0.0
13,28,0.0,0.9999999999999999,0.0
14,29,0.0,1.0,0.0
15,29,0.0,1.0,0.0
16,17,-6.9117371455481145,0.606620367049858,3.1086244689504383e-15
17,18,-6.911737145548127,1.0571282223420537,2.0298429603826662e-11
18,19,-6.91173714554812,0.7656290674869433,3.26405569239796e-14
19,20,-6.911737145548127,1.0952505544126554,5.939693181744587e-14
20,21,-6.911737145548564,0.8343418612474347,1.2101430968414206e-13
21,22,-6.911737145554087,1.1134605665656663,1.521338610643852e-12
22,23,-6.9117371455619505,0.8545184195334024,3.0689895069713202e-12
28,29,-6.911737145548093,0.6066203670520178,7.632339205088101e-12
27,28,-6.911737145548093,1.057128222343847,2.7755575615628914e-15
26,27,-6.911737145548098,0.7656290674923403,7.471800955727304e-14
25,26,-6.911737145548084,1.095250554418955,-4.6851411639181606e-14
24,25,-6.911737145548557,0.8343418612567028,1.7696955012524995e-13
23,24,-6.911737145554091,1.1134605665779649,1.6087131626818518e-12
