site,Sx,Sy,Sz
0,2.2257347874476974e-13,0j,-1.690301544565731e-13
1,-2.0464294321620446e-13,0j,1.5552619955783165e-13
2,2.7783331191244542e-14,0j,-1.0658141036401503e-14
3,4.562959710595338e-15,0j,-1.274122544666148e-14
4,1.1157741397482823e-14,0j,1.2351231148954867e-14
5,-6.413055850251759e-16,0j,-1.3235940121703038e-15
6,-8.317486347677905e-17,0j,1.7208456881689926e-15
7,4.493007918162815e-16,0j,8.881784197001252e-16
8,-5.9674487573602164e-15,0j,6.994405055138486e-15
9,3.2224656970614163e-15,0j,-1.119764003743029e-15
10,-6.439293542825908e-15,0j,-1.9012569296705806e-15
11,6.706459592851176e-16,0j,-6.31683290744367e-16
12,3.8713429096020983e-17,0j,-2.7200464103316335e-15
13,-4.708077406402078e-16,0j,-1.906461100098511e-15
14,-2.22148146431027e-16,0j,6.522560269672795e-15
15,1.804158154795031e-15,0j,-3.164135620181696e-15
16,-6.186450714059592e-19,0j,-1.815214645262131e-14
17,-3.6440035017237804e-15,0j,5.421010862427522e-15
18,-1.9208992002009342e-16,0j,-3.608224830031759e-16
19,6.813519475186436e-15,0j,1.2620506311018798e-14
20,-8.631984016460592e-15,0j,-9.242606680004428e-15
21,5.183245326001451e-15,0j,9.416946389340097e-15
22,1.064821264558938e-16,0j,4.690692279041286e-15
23,5.215283500198398e-16,0j,-4.107825191113079e-15
24,6.552627027624566e-19,0j,1.457167719820518e-14
25,-2.8922177153223316e-15,0j,1.2862974574368025e-15
26,-1.13698079542892e-16,0j,6.411537967210279e-15
27,-1.8895882037892053e-15,0j,-1.9774763423963115e-15
28,2.6008845447624777e-16,0j,7.716050021144838e-15
29,-5.412554085482135e-15,0j,-5.170180689823001e-15
30,1.1560751183604612e-16,0j,-2.6922908347160046e-15
31,-8.390901499013073e-15,0j,6.189493362285248e-15
32,2.2926105458509483e-14,0j,3.408731630294426e-16
33,-9.237727770228243e-15,0j,-9.733750264140362e-15
34,-2.0694073692606625e-19,0j,-5.2735593669694936e-15
35,3.9603194855464263e-16,0j,8.497841102669823e-15
36,-4.396138053941261e-17,0j,-3.497202527569243e-15
37,1.4361540580740114e-15,0j,4.620435978264226e-15
38,1.0506350508792046e-16,0j,1.3877787807814457e-15
39,7.841017874050948e-16,0j,7.993605777301127e-15
40,-5.828670879282072e-15,0j,8.854028621385623e-15
41,7.546047120499111e-15,0j,-1.1987047639216986e-14
42,7.405460827078578e-17,0j,9.353628982466944e-15
43,-1.870411377863368e-15,0j,-2.149539227169761e-15
44,1.2528909015135665e-16,0j,-8.68749516769185e-15
45,-3.620351481071066e-15,0j,1.5416589218360688e-14
46,-1.9843907385191974e-16,0j,-1.1157741397482823e-14
47,4.2596482236118872e-16,0j,-8.382183835919932e-15
48,-7.688294445529209e-15,0j,1.021405182655144e-14
49,3.43984823264476e-15,0j,-1.9463597400459776e-15
50,-2.313599027020197e-16,0j,1.3766765505351941e-14
51,5.6684208615748186e-15,0j,5.209625320110739e-15
52,8.128075222293063e-17,0j,-9.353628982466944e-15
53,-2.11342720598188e-16,0j,-1.0620844481668001e-15
54,-9.002689679892331e-17,0j,-3.7192471324942744e-15
55,5.411747710116349e-15,0j,-1.4988010832439613e-15
56,1.0522372666384953e-17,0j,-7.13318293321663e-15
57,-7.030454777373629e-15,0j,8.632742957981332e-15
58,1.2587153541687712e-14,0j,-2.32314167902814e-14
59,-3.894631997148409e-15,0j,-4.6324164122701905e-15
60,6.6058269965196814e-15,0j,7.605027718682322e-15
61,-1.2583250413866764e-14,0j,-1.8233244775123225e-14
62,-6.882160191311146e-17,0j,5.440092820663267e-15
63,-1.0401816478705498e-14,0j,-7.605027718682322e-15
64,1.074140776324839e-14,0j,-2.3425705819590803e-14
65,-2.09576279941448e-15,0j,7.123641954098758e-15
66,2.1132201484573912e-17,0j,9.159339953157541e-16
67,-2.9577577366490804e-15,0j,-7.381031549846817e-15
68,6.494804694057166e-15,0j,7.188694084447889e-15
69,-9.498912073580001e-15,0j,-1.657869804980172e-14
70,-3.822997710044171e-16,0j,-3.0253577421035516e-15
71,9.534087657813578e-15,0j,-3.1086244689504383e-15
72,6.328271240363392e-15,0j,5.329070518200751e-15
73,-7.880198230059143e-15,0j,9.567216810446588e-15
74,-2.690737799807214e-17,0j,6.439293542825908e-15
75,-4.607723707791833e-15,0j,-1.2346609737194647e-14
76,-3.03166856107707e-17,0j,1.6958656701149266e-14
77,-2.590904379061454e-15,0j,5.265319430458604e-15
78,8.258264186286049e-17,0j,-1.8318679906315083e-15
79,-7.944521912073635e-15,0j,4.107825191113079e-15
80,-1.0727529975440575e-14,0j,-1.892930256985892e-14
81,1.6434878631621519e-15,0j,1.4839976578313874e-14
82,-1.0630385460785874e-14,0j,-1.2212453270876722e-14
83,1.5285888603066428e-14,0j,1.3752399826566508e-14
84,-1.942890293094024e-14,0j,-3.011479954295737e-15
85,1.896863877992941e-14,0j,-1.903100073363806e-15
86,-7.549516567451064e-15,0j,-5.689893001203927e-15
87,3.885780586188048e-15,0j,1.0075273948473296e-14
88,-7.271960811294775e-15,0j,1.5709655798445965e-14
89,2.4627516822736673e-15,0j,5.632701336605317e-16
90,-6.326642607764059e-17,0j,-1.609823385706477e-15
91,-5.420956652318898e-15,0j,2.971256053696525e-16
92,-6.215098956522508e-17,0j,-1.7208456881689926e-15
93,-1.2981233057843937e-16,0j,-2.096963549433284e-14
94,-4.398226933142141e-17,0j,5.551115123125783e-15
95,-1.517594573821607e-15,0j,-1.1435297153639112e-14
96,7.244205235679146e-15,0j,1.9817480989559044e-14
97,-7.601666691947617e-15,0j,-1.00076197329102e-14
98,7.743805596760467e-15,0j,5.412337245047638e-15
99,-1.3665609442659044e-14,0j,1.9310562263813447e-14
100,1.0186296250935811e-14,0j,-1.0408340855860843e-14
101,-4.354155924701786e-15,0j,9.937580272567637e-15
102,5.412337245047638e-15,0j,-4.440892098500626e-15
103,-1.4765966227514582e-14,0j,6.938893903907228e-15
104,9.797718192317006e-15,0j,3.191891195797325e-15
105,6.594639701025148e-15,0j,-3.241330814862664e-15
