site,Sx,Sy,Sz
0,-2.1781404804799287e-14,0j,5.963899350498042e-14
1,1.4946214838690297e-14,0j,-3.83416578651416e-14
2,-2.936539900133539e-14,0j,7.560532061523517e-14
3,2.6641883144051803e-14,0j,-5.6680354854066195e-14
4,-4.4332240786357224e-14,0j,8.873427031130462e-14
5,3.6790123898733373e-14,0j,-7.002328540140282e-14
6,-4.8503735750049515e-14,0j,8.443159366100517e-14
7,3.541958393249445e-14,0j,-6.15263048842074e-14
8,-4.028635064434738e-14,0j,8.237768106544863e-14
9,2.6929847241063953e-14,0j,-6.799422136438693e-14
10,-3.6942671144402084e-14,0j,6.433742427702782e-14
11,2.876865412559937e-14,0j,-5.3158866197833277e-14
12,-4.2032349822918036e-14,0j,5.6180754492984875e-14
13,3.57595897337859e-14,0j,-4.632232097900868e-14
14,-4.758693439299577e-14,0j,3.978067875110014e-14
15,4.116498808492963e-14,0j,-3.277239590815384e-14
16,-2.9223585357174287e-14,0j,4.063416270128073e-14
17,2.121349970685138e-14,0j,-3.574918139293004e-14
18,8.881784197001252e-15,0j,4.125172425872847e-14
19,-9.048317650695026e-15,0j,-3.793493297266082e-14
20,2.1017909634934995e-14,0j,3.736420894906445e-14
21,-2.027544798721692e-14,0j,-3.210799681685472e-14
22,2.3271315430228867e-14,0j,1.4259426972529354e-14
23,-1.8846035843012032e-14,0j,-1.4536982728685643e-14
24,-5.820864623640176e-15,0j,4.19230622439315e-14
25,9.030970415935258e-15,0j,-4.7808978997920804e-14
26,-2.8553548414578245e-14,0j,7.021987158406517e-14
27,2.4216739724636227e-14,0j,-5.947499437386483e-14
28,-2.924049891106506e-14,0j,6.631847848659334e-14
29,2.3803875537353747e-14,0j,-5.713311768129614e-14
30,-4.77716824431873e-14,0j,8.051458805224954e-14
31,3.518539626323758e-14,0j,-5.9312797728861e-14
32,-2.688734651590252e-14,0j,4.432912370511133e-14
33,1.792403031553036e-14,0j,-3.2644026370931556e-14
34,-2.6242896744577138e-14,0j,3.2335245592207684e-15
35,2.0133200662186823e-14,0j,-1.824929096727601e-15
36,-2.5441454498675853e-14,0j,3.629735401133871e-14
37,2.2839369284710642e-14,0j,-3.8739844665514056e-14
38,-5.224987109642143e-15,0j,1.1543543898540065e-13
39,3.559652572704408e-15,0j,-1.0181439025203076e-13
40,-7.80712300363362e-15,0j,1.2232462221969942e-13
41,8.17141493358875e-15,0j,-1.0223473543430339e-13
42,1.3773704399255848e-15,0j,9.120482147295661e-14
43,-3.250004432242548e-15,0j,-8.304468224196171e-14
44,-1.35828848168984e-15,0j,1.024770546198539e-13
