node1,node2,energy,entanglement,error
0,13,0.0,0.9999999999999999,0.0
1,12,0.0,0.9999999999999998,0.0
2,12,0.0,0.9999999999999998,0.0
3,14,0.0,1.0,0.0
4,15,0.0,0.9999999999999999,0.0
5,15,0.0,1.0,0.0
6,17,0.0,0.9999999999999999,0.0
7,17,0.0,0.9999999999999999,0.0
8,19,0.0,0.9999999999999999,0.0
9,19,0.0,0.9999999999999998,0.0
10,21,0.0,1.0,0.0
11,21,0.0,0.9999999999999999,0.0
12,13,-4.018006900223509,1.0731553965559624,-1.7763568394002505e-15
13,14,-4.018006900223511,1.1296828022199321,2.3314683517128287e-15
14,16,-4.018007252522634,0.7589759300114448,1.7697524989923608e-07
15,16,-4.018006799018033,1.0345365720151658,3.375077994860476e-14
16,18,-4.018009403943056,0.807739983154951,9.446828678205677e-07
20,21,-4.018006897873085,0.5897731626569432,1.8540724511240114e-14
19,20,-4.018006897873085,0.9577143137826895,3.7636560534792807e-14
18,20,-4.018009777669522,0.7462428105331714,8.774132224109721e-07
17,18,-4.018006900522557,1.0487251308070435,1.4765966227514582e-14
