site,Sx,Sy,Sz
0,2.2485348205167886e-18,0.0,5.551115123125783e-17
1,-1.766079541231103e-18,0.0,-2.7478019859472624e-15
2,-1.4489970012194153e-16,0.0,2.8033131371785203e-15
3,-1.838136515321237e-18,0.0,-8.326672684688674e-17
4,3.204232551693603e-17,0.0,3.774758283725532e-15
5,7.578579140062598e-19,0.0,-3.469446951953614e-15
6,-1.561937995199162e-17,0.0,-3.885780586188048e-16
7,-3.625192971721163e-18,0.0,3.3306690738754696e-16
8,0.0,0.0,-2.7755575615628914e-16
9,0.0,0.0,3.0531133177191805e-16
10,-1.259342763878886e-16,0.0,-2.7755575615628914e-17
11,1.1738941089588125e-16,0.0,1.1102230246251565e-16
