site1,site2,SxSx,SySy,SzSz,SxSy,SySx,SySz,SzSy,SzSx,SxSz
0,1,-0.22540449298811766,0.04236102162335748,-0.015625,0.0006618909628649607,0.0,-4.1368185179060055e-05,0.0,2.281548725615397e-20,3.814697265625e-06
0,2,-6.158371777790882e-07,9.061602348044651e-08,-5.960464477539051e-08,0.0,1.4158753668819755e-09,0.0,-8.84922104301234e-11,1.45519152283668e-11,2.21548585056993e-26
0,3,-5.792188769068518e-29,4.9029791876824646e-30,-1.2621774483536298e-29,0.0,7.660904980753853e-32,0.0,-4.788065612971232e-33,3.081487911019604e-33,1.8101018631398104e-47
0,4,-5.792188769068518e-29,4.9029791876824646e-30,-1.2621774483536298e-29,0.0,7.660904980753853e-32,0.0,-4.788065612971232e-33,3.081487911019604e-33,1.8101018631398104e-47
0,5,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
0,6,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
0,7,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
0,8,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
0,9,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
0,10,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
0,11,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
0,12,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
0,13,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
0,14,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
0,15,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
1,2,-6.158371777790882e-07,9.061602348044651e-08,-5.960464477539051e-08,0.0,1.4158753668819755e-09,0.0,-8.84922104301234e-11,1.45519152283668e-11,2.21548585056993e-26
1,3,-5.792188769068518e-29,4.9029791876824646e-30,-1.2621774483536298e-29,0.0,7.660904980753853e-32,0.0,-4.788065612971232e-33,3.081487911019604e-33,1.8101018631398104e-47
1,4,-5.792188769068518e-29,4.9029791876824646e-30,-1.2621774483536298e-29,0.0,7.660904980753853e-32,0.0,-4.788065612971232e-33,3.081487911019604e-33,1.8101018631398104e-47
1,5,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
1,6,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
1,7,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
1,8,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
1,9,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
1,10,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
1,11,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
1,12,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
1,13,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
1,14,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
1,15,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
2,3,-5.792188769068518e-29,4.9029791876824646e-30,-1.2621774483536298e-29,0.0,7.660904980753853e-32,0.0,-4.788065612971232e-33,3.081487911019604e-33,1.8101018631398104e-47
2,4,-5.792188769068518e-29,4.9029791876824646e-30,-1.2621774483536298e-29,0.0,7.660904980753853e-32,0.0,-4.788065612971232e-33,3.081487911019604e-33,1.8101018631398104e-47
2,5,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
2,6,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
2,7,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
2,8,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
2,9,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
2,10,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
2,11,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
2,12,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
2,13,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
2,14,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
2,15,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
3,4,-0.18264141563817238,0.042965186442209216,-0.015625000000000003,0.000671331038159519,0.0,-4.195818988496994e-05,0.0,8.743133871078025e-21,3.814697265625001e-06
3,5,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
3,6,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
3,7,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
3,8,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
3,9,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
3,10,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
3,11,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
3,12,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
3,13,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
3,14,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
3,15,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
4,5,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
4,6,-1.6713440975793922e-50,4.739696292310688e-52,-2.672764710092268e-51,0.0,7.405775456735465e-54,0.0,-4.6286096604596534e-55,6.525304467998704e-55,9.656231212760757e-69
4,7,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
4,8,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
4,9,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
4,10,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
4,11,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
4,12,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
4,13,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
4,14,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
