node1,node2,energy,entanglement,error
0,16,0.0,1.0,0.0
1,16,0.0,1.0,0.0
2,17,0.0,1.0,0.0
3,18,0.0,1.0,0.0
4,19,0.0,1.0,0.0
5,20,0.0,1.0,0.0
6,21,0.0,1.0,0.0
7,22,0.0,1.0,0.0
8,23,0.0,1.0,0.0
9,24,0.0,0.9999999999999999,0.0
10,25,0.0,1.0,0.0
11,26,0.0,1.0,0.0
12,27,0.0,0.9999999999999999,0.0
13,28,0.0,1.0,0.0
14,29,0.0,1.0,0.0
15,29,0.0,1.0,0.0
16,17,-6.911737145575104,0.6066203674381296,4.591882429849647e-13
17,18,-6.9117371455751,1.057128222863617,4.440892098500626e-16
18,19,-6.9117371455751035,0.7656290684832805,2.206013149930186e-13
19,20,-6.911737145575098,1.0952505556865166,-1.247890679678676e-13
20,21,-6.9117371455751,0.8343418629923497,-9.325873406851315e-15
21,22,-6.911737145575107,1.1134605681115015,1.1546319456101628e-14
22,23,-6.911737145575095,0.8545184207464217,-2.55351295663786e-14
28,29,-6.9117371455751,0.6066203674381152,0.0
27,28,-6.911737145575102,1.057128222863591,1.8948509428184934e-11
26,27,-6.911737145575106,0.7656290684832807,2.5091040356528538e-14
25,26,-6.911737145575109,1.0952505556865175,6.927791673660977e-14
24,25,-6.911737145575093,0.8343418629922791,-1.234123914173324e-12
23,24,-6.911737145575105,1.1134605681114889,1.2545520178264269e-14
