site,Sx,Sy,Sz
0,0.0,0j,3.4107367396638434e-08
1,0.0,0j,-1.2009498065187595e-08
2,0.0,0j,3.2212875106935046e-08
3,0.0,0j,-5.343653143117685e-09
4,0.0,0j,2.3145362451496357e-08
5,0.0,0j,2.7961983613961072e-09
6,0.0,0j,2.0372912192326287e-08
7,0.0,0j,-4.319001428200464e-12
8,0.0,0j,1.9371618024954795e-12
9,0.0,0j,-4.463417049155316e-12
10,0.0,0j,1.1190675122674243e-12
11,0.0,0j,-4.310759811176207e-12
12,0.0,0j,9.696396728890334e-13
13,0.0,0j,-4.591379360041614e-12
14,0.0,0j,1.1250470540311973e-12
15,0.0,0j,-5.271468207877122e-12
